## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
SKU:DOVE61,Sesitive Skin Beauty Bar,DOVE,,https://github.com/Shwetha256/Shwertha/blob/main/SENSITIVE.png,,http://localhost:4502/editor.html/content/we-cpg/us/en/category-page/personal_care/DOVE.html,,,,,,,,,,,,,
SKU:LUX52,VELVET GLOW,LUX,,https://github.com/Shwetha256/Shwertha/blob/main/VELVET.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LUX.html,,,,,,,,,,,,,
SKU:LIFE12,Lifebuoy  Germ Protection Handwash,LIFEBOUY,,https://github.com/Shwetha256/Shwertha/blob/main/GERM.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LifeBuoy.html,,,,,,,,,,,,,
SKU:LIFE14,Lifebuoy Care Soap Bar,LIFEBOUY,,https://github.com/Shwetha256/Shwertha/blob/main/LIFE1.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LifeBuoy.html,,,,,,,,,,,,,
SKU:LUX54,SOFT GLOW BAR,LUX,,https://github.com/Shwetha256/Shwertha/blob/main/SOFT%20GLOW.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LUX.html,,,,,,,,,,,,,
SKU:LUX56,Fresh Splash,LUX,,https://github.com/Shwetha256/Shwertha/blob/main/FLASH.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LUX.html,,,,,,,,,,,,,
SKU:DOVE62,Pink Beauty Bar,DOVE,,https://github.com/Shwetha256/Shwertha/blob/main/PINK%20BEAUTY.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/DOVE.html,,,,,,,,,,,,,
SKU:DOVE64,Shea Butter Bar,DOVE,,https://github.com/Shwetha256/Shwertha/blob/main/SHEA.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/DOVE.html,,,,,,,,,,,,,
SKU:LIFE13,Lifebuoy  Germ Protection Handwash,LIFEBOUY,,https://github.com/Shwetha256/Shwertha/blob/main/GERM1.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LifeBuoy.html,,,,,,,,,,,,,
SKU:LIFE15,Life Bouy Soap,LIFEBOUY,,https://github.com/Shwetha256/Shwertha/blob/main/LIFE2.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LifeBuoy.html,,,,,,,,,,,,,
SKU:VASELINE05,VASELINE® HEALING JELLY,VASELINE,,https://github.com/Shwetha256/Shwertha/blob/main/HEALING.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Vaseline.html,,,,,,,,,,,,,
SKU:VASELINE04,VASELINE® INTENSIVE CARE™,VASELINE,,https://github.com/Shwetha256/Shwertha/blob/main/INTENSIVE.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Vaseline.html,,,,,,,,,,,,,
SKU:VASELINE06,VASELINE® LIP THERAPY,VASELINE,,https://github.com/Shwetha256/Shwertha/blob/main/LIP.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Vaseline.html,,,,,,,,,,,,,
SKU:VASELINE07,VASELINE® CLINICAL,VASELINE,,https://github.com/Shwetha256/Shwertha/blob/main/CLINICAL.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Vaseline.html,,,,,,,,,,,,,
SKU:ENERGY31,Lemon Hydration Multiplier,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/LEMON.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Liquid_IV.html,,,,,,,,,,,,,
SKU:ENERGY32,ENERGY MULTIPLIER,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/ENERGY.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Liquid_IV.html,,,,,,,,,,,,,
SKU:ENERGY33,Immune Support,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/IMMUNE.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Liquid_IV.html,,,,,,,,,,,,,
SKU:ENERGY34,Piña Colada,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/PINA.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Liquid_IV.html,,,,,,,,,,,,,
SKU:HELLMAN123,REAL MAYONNAISE,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/123.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Hellmann%27s.html,,,,,,,,,,,,,
SKU:HELLMAN124,LIGHT MAYONNAISE ,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/124.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Hellmann%27s.html,,,,,,,,,,,,,
SKU:HELLMAN125,MAYONNAISE DRESSING WITH OLIVE OIL,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/125.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Hellmann%27s.html,,,,,,,,,,,,,
SKU:HELLMAN126,ORGANIC MAYONNAISE,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/126.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Hellmann%27s.html,,,,,,,,,,,,,
SKU:KNORR81,Hot & Sour Veg Soup,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/KNOR81.png,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Knorr.html,,,,,,,,,,,,,
SKU:KNORR82,Sweet Corn Veg Soup,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/KNOR82.png,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Knorr.html,,,,,,,,,,,,,
SKU:KNORR83,Thick Tomato Soup,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/KNOR83.png,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Knorr.html,,,,,,,,,,,,,
SKU:KNORR84,Chicken Delite Soup,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/KNOR84.png,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Knorr.html,,,,,,,,,,,,,
SKU:NUTRITION23,Health &Nutririon Drink,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/NUTRI1.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Horlicks.html,,,,,,,,,,,,,
SKU:NUTRITION24,Choclate Drink,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/NUTRI2.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Horlicks.html,,,,,,,,,,,,,
SKU:DOVE24,Beauty Cream Bar,NUTRITION,,https://github.com/Shwetha256/Shwertha/blob/main/BEAUTY%20CREAM.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/DOVE.html,,,,,,,,,,,,,
